symbol,type,logo
AAPL,Stock,https://i.postimg.cc/zfTYDYxX/pngwing-com-4.png
GOOGL,Stock,https://i.postimg.cc/15W9bSjk/pngwing-com-9.png
AMZN,Stock,https://i.postimg.cc/7YQkmVCD/pngwing-com-5.png
MSFT,Stock,https://i.postimg.cc/76gHRTF9/pngwing-com-17.png
META,Stock,https://i.postimg.cc/cLpNNLMb/pngwing-com-6.png
TSLA,Stock,https://i.postimg.cc/9XbVqVCD/pngwing-com-8.png
F,Stock,https://i.postimg.cc/zXpB5KVP/pngwing-com-15.png
NVDA,Stock,https://i.postimg.cc/858kwb0s/pngwing-com-14.png
ETRN,Stock,https://i.postimg.cc/rwPwRTG1/images-removebg-preview.png
KO,Stock,https://i.postimg.cc/Vkb34cQB/pngwing-com-11.png
NFLX,Stock,https://i.postimg.cc/0Qdvn1SH/pngwing-com-13.png
ADANI,Stock,https://i.postimg.cc/rmcXKZHG/pngwing-com-7.png
INFY,Stock,https://i.postimg.cc/NjSQf4Yb/pngwing-com-10.png
INTC,Stock,https://i.postimg.cc/vTsB8vrC/pngwing-com-18.png
BTC-USD,Crypto,https://i.postimg.cc/8CQHXxDP/1-2.png
ETH-USD,Crypto,https://i.postimg.cc/WpgZp8Bx/1027.png
LEO-USD,Crypto,https://i.postimg.cc/fRtDZ2F9/3957.png
SOL-USD,Crypto,https://i.postimg.cc/rm6pvXws/5426.png
BND-USD,Crypto,https://i.postimg.cc/fTkhjqMr/1839.png
XRP-USD,Crypto,https://i.postimg.cc/bvRzFGWC/52.png
STETH-USD,Crypto,https://i.postimg.cc/YC6khGrr/8085.png
USDC-USD,Crypto,https://i.postimg.cc/MHJqD7WW/3408.png
ADA-USD,Crypto,https://i.postimg.cc/xCz9MxVx/2010.png
FDUSD-USD,Crypto,https://i.postimg.cc/MGcwJPH6/26081.png
FIL-USD,Crypto,https://i.postimg.cc/Y0GcJ83c/2280.png
WETH,Crypto,https://i.postimg.cc/cC7Z5vHf/2396.png
LINK-USD,Crypto,https://i.postimg.cc/zfMJLm6H/1975.png
AVAX-USD,Crypto,https://i.postimg.cc/sDy3G46m/5805.png
WBTC-USD,Crypto,https://i.postimg.cc/1RD9zjH4/3717.png
VBNB-USD,Crypto,https://i.postimg.cc/Z55ZVKhy/7961.png
USDT-USD,Crypto,https://i.postimg.cc/43WD9prg/825.png
SQQQ,ETFs,
SOXL,ETFs,
TQQQ,ETFs,
SPXS,ETFs,
SPY,ETFs,
SOXS,ETFs,
SHTSL,ETFs,
TSLL,ETFs,
IWM,ETFs,
QQQ,ETFs,
EEM,ETFs,
GDX,ETFs,
KRE,ETFs,
LQD,ETFs,
TECE,ETFs,
TLT,ETFs,
TNA,ETFs,
EURUSD,Curreny,
JPY,Curreny,
TMAPX,MF,
BGRIX,MF,
INRUSD,currency,
HKD,currency,
